State,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Result
Uttar Pradesh,Pratapgarh,SANGAM LAL GUPTA,Bharatiya Janata Party,374208,1518,375726,39.66,Lost
Uttar Pradesh,Pratapgarh,PRATHMESH MISHRA 'SENANI',Bahujan Samaj Party,79872,272,80144,8.46,Lost
Uttar Pradesh,Pratapgarh,SANDEEP SINGH,National Jan Dal,5270,16,5286,0.56,Lost
Uttar Pradesh,Pratapgarh,ARUN KUMAR PANDEY,Hindustan Samaj Party,4984,7,4991,0.53,Lost
Uttar Pradesh,Pratapgarh,SHIV RAM SHARMA,Moulik Adhikar Party,4709,2,4711,0.5,Lost
Uttar Pradesh,Pratapgarh,AMAR SINGH,Independent,4135,3,4138,0.44,Lost
Uttar Pradesh,Pratapgarh,SUNIL CHANDRA PAL,Rashtra Uday Party,3337,3,3340,0.35,Lost
Uttar Pradesh,Pratapgarh,AJEET PRATAP,Independent,2581,0,2581,0.27,Lost
Uttar Pradesh,Pratapgarh,VIJAY SINGH,Sanatan Sanskriti Raksha Dal,2457,2,2459,0.26,Lost
Uttar Pradesh,Pratapgarh,RISHI PATEL,Apna Dal (Kamerawadi),2425,4,2429,0.26,Lost
Uttar Pradesh,Pratapgarh,MAHESH KUMAR PRAJAPATI,Samajhdar Party,1963,1,1964,0.21,Lost
Uttar Pradesh,Pratapgarh,DHANANJAY,Independent,1622,1,1623,0.17,Lost
Uttar Pradesh,Pratapgarh,GEETA DEVI,Bhartiya Lokmat Rashtrwadi Party,1582,12,1594,0.17,Lost
Uttar Pradesh,Pratapgarh,RAMSIDDH YADAV URF R.S.YADAV,Manavtawadi Samaj Party,1326,1,1327,0.14,Lost
Uttar Pradesh,Pratapgarh,SUNIL KUMAR MISHRA,Independent,1134,2,1136,0.12,Lost
Uttar Pradesh,Pratapgarh,SHANKAR SUMAN TIVARI,Independent,1128,1,1129,0.12,Lost
Uttar Pradesh,Pratapgarh,DURGESH KUMAR,Rastriya Atal Janta Party,1113,3,1116,0.12,Lost
Uttar Pradesh,Pratapgarh,RAM KUMAR YADAV,Socialist Unity Centre Of India (COMMUNIST),1070,1,1071,0.11,Lost
Uttar Pradesh,Pratapgarh,SHIV PAL PATEL,Independent,1025,5,1030,0.11,Lost
Uttar Pradesh,Pratapgarh,DHARMENDRA TIWARI,Log Party,992,1,993,0.1,Lost
Uttar Pradesh,Pratapgarh,JOKHU PATEL,Sardar Patel Siddhant Party,969,2,971,0.1,Lost
Uttar Pradesh,Pratapgarh,SHRAWAN KUMAR TRIPATHI,Independent,849,2,851,0.09,Lost
Uttar Pradesh,Pratapgarh,DHYAN SINGH,Independent,675,3,678,0.07,Lost
Uttar Pradesh,Pratapgarh,PRAMOD KUMAR,Independent,672,2,674,0.07,Lost
Uttar Pradesh,Pratapgarh,MOHRAM ALI,Independent,501,2,503,0.05,Lost
Uttar Pradesh,Pratapgarh,NOTA,None of the Above,2869,22,2891,0.31,Lost
Uttar Pradesh,Rae Bareli,RAHUL GANDHI,Indian National Congress,686044,1605,687649,66.17,Won
Uttar Pradesh,Rae Bareli,DINESH PRATAP SINGH,Bharatiya Janata Party,296703,916,297619,28.64,Lost
Uttar Pradesh,Rae Bareli,THAKUR PRASAD YADAV,Bahujan Samaj Party,21588,36,21624,02.08,Lost
Uttar Pradesh,Rae Bareli,DILEEP SINGH,Akhil Bhartiya Apna Dal,8676,2,8678,0.84,Lost
Uttar Pradesh,Rae Bareli,HORILAL,Independent,5397,2,5399,0.52,Lost
Uttar Pradesh,Rae Bareli,SUDARSHAN RAM,Bhartiya Panchsheel Party,4343,2,4345,0.42,Lost
Uttar Pradesh,Rae Bareli,HIND ROHITASH,Manavtawadi Samaj Party,3859,0,3859,0.37,Lost
Uttar Pradesh,Rae Bareli,MO MOBIN,Apna Dal (Kamerawadi),2173,1,2174,0.21,Lost
Uttar Pradesh,Rae Bareli,NOTA,None of the Above,7861,11,7872,0.76,Lost
Uttar Pradesh,Rampur,MOHIBBULLAH,Samajwadi Party,481252,251,481503,49.74,Won
Uttar Pradesh,Rampur,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,393154,915,394069,40.71,Lost
Uttar Pradesh,Rampur,ZEESHAN KHAN,Bahujan Samaj Party,79561,131,79692,8.23,Lost
Uttar Pradesh,Rampur,ARSHAD WARSI,Minorities Democratic Party,2919,8,2927,0.3,Lost
Uttar Pradesh,Rampur,MEHMOOD PRACHA,Independent,2750,9,2759,0.28,Lost
Uttar Pradesh,Rampur,SHIV PRASAD,Independent,1465,11,1476,0.15,Lost
Uttar Pradesh,Rampur,NOTA,None of the Above,5643,10,5653,0.58,Lost
Uttar Pradesh,Robertsganj,CHHOTELAL,Samajwadi Party,465240,608,465848,46.14,Won
Uttar Pradesh,Robertsganj,RINKI SINGH,Apna Dal (Soneylal),336344,270,336614,33.34,Lost
Uttar Pradesh,Robertsganj,DHANESHWAR,Bahujan Samaj Party,118669,109,118778,11.77,Lost
Uttar Pradesh,Robertsganj,ASHOK KUMAR KANNAUJIYA,Communist Party of India,23830,22,23852,2.36,Lost
Uttar Pradesh,Robertsganj,SUBHAGI,Janhit Sankalp Party,8191,3,8194,0.81,Lost
Uttar Pradesh,Robertsganj,ARVIND KUMAR BHARTI,Rashtriya Samanta Dal,7583,9,7592,0.75,Lost
Uttar Pradesh,Robertsganj,SUKALU,Independent,6701,11,6712,0.66,Lost
Uttar Pradesh,Robertsganj,SHIVPUJAN,Rashtriya Samaj Paksha,6422,22,6444,0.64,Lost
