State,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Result
Jharkhand,Hazaribagh,JAI PRAKASH BHAI PATEL,Indian National Congress,371641,6286,377927,29.88,Lost
Jharkhand,Hazaribagh,SANJAY KUMAR MEHTA,Independent,156298,1679,157977,12.49,Lost
Jharkhand,Hazaribagh,SHASHI BHUSHAN KESHRI,Independent,15373,13,15386,1.22,Lost
Jharkhand,Hazaribagh,ANIRUDDH KUMAR,Communist Party of India,10428,40,10468,0.83,Lost
Jharkhand,Hazaribagh,MD. MOIN UDDIN AHMAD,Bahujan Samaj Party,7395,43,7438,0.59,Lost
Jharkhand,Hazaribagh,MD. SERAJ,Independent,5503,3,5506,0.44,Lost
Jharkhand,Hazaribagh,VINOD KUMAR RANA,Independent,4831,10,4841,0.38,Lost
Jharkhand,Hazaribagh,KUNJ BIHARI KUMAR,Lokhit Adhikar Party,4220,14,4234,0.33,Lost
Jharkhand,Hazaribagh,CHHATHI DEVI,Akhil Bhartiya Parivar Party,3296,20,3316,0.26,Lost
Jharkhand,Hazaribagh,ABHISHEK KUMAR,Independent,2963,9,2972,0.24,Lost
Jharkhand,Hazaribagh,NISHANT KUMAR SINHA,Peoples Party of India (Democratic),2932,24,2956,0.23,Lost
Jharkhand,Hazaribagh,MANOJ KUMAR BEDIA,Independent,2559,19,2578,0.2,Lost
Jharkhand,Hazaribagh,BHUNESHWAR BEDIYA,Samata Party,2236,28,2264,0.18,Lost
Jharkhand,Hazaribagh,RAJ KUMAR,Jharkhand Party,1885,50,1935,0.15,Lost
Jharkhand,Hazaribagh,SHYAM BIHARI PRAJAPATI,Bhagidari Party(P),1818,21,1839,0.15,Lost
Jharkhand,Hazaribagh,PRAKASH SONI,Bhartiya Azad Sena,1209,8,1217,0.1,Lost
Jharkhand,Hazaribagh,NOTA,None of the Above,7090,110,7200,0.57,Lost
Jharkhand,Jamshedpur,BIDYUT BARAN MAHATO,Bharatiya Janata Party,719891,6283,726174,56.84,Won
Jharkhand,Jamshedpur,SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,459997,6395,466392,36.5,Lost
Jharkhand,Jamshedpur,INDRA DEO PRASAD,Independent,8463,6,8469,0.66,Lost
Jharkhand,Jamshedpur,ARUN MAHATO,Independent,7337,7,7344,0.57,Lost
Jharkhand,Jamshedpur,ANAND MUKHI,Independent,6346,6,6352,0.5,Lost
Jharkhand,Jamshedpur,PRANAV KUMAR MAHTO,Bahujan Samaj Party,6090,61,6151,0.48,Lost
Jharkhand,Jamshedpur,BISHWANATH MAHATO,Independent,5226,105,5331,0.42,Lost
Jharkhand,Jamshedpur,ANGAD MAHATO,Amra Bangalee,4898,27,4925,0.39,Lost
Jharkhand,Jamshedpur,JUJHAR SOREN,Independent,4262,53,4315,0.34,Lost
Jharkhand,Jamshedpur,SUKUMAR SOREN,Bharat Adivasi Party,3860,34,3894,0.3,Lost
Jharkhand,Jamshedpur,DHARMU TUDU,Ambedkarite Party of India,3274,17,3291,0.26,Lost
Jharkhand,Jamshedpur,JITENDRA SINGH,Independent,3159,8,3167,0.25,Lost
Jharkhand,Jamshedpur,SANAKA MAHATO,Socialist Unity Centre Of India (COMMUNIST),3137,38,3175,0.25,Lost
Jharkhand,Jamshedpur,MANOJ GUPTA,Lokhit Adhikar Party,2355,7,2362,0.18,Lost
Jharkhand,Jamshedpur,SADHU CHARAN PAUL,Independent,2291,26,2317,0.18,Lost
Jharkhand,Jamshedpur,SAURAV VISHNU,Independent,2234,30,2264,0.18,Lost
Jharkhand,Jamshedpur,SHAIKH AKHIRUDDIN,Bahujan Maha Party,2099,9,2108,0.16,Lost
Jharkhand,Jamshedpur,ASHOK KUMAR,Peoples Party of India (Democratic),2038,10,2048,0.16,Lost
Jharkhand,Jamshedpur,MAHESH KUMAR,Right to Recall Party,1952,8,1960,0.15,Lost
Jharkhand,Jamshedpur,G JAYRAM DAS,Independent,1927,4,1931,0.15,Lost
Jharkhand,Jamshedpur,ARUN KUMAR SHARMA,Bhartiya Azad Sena,1797,4,1801,0.14,Lost
Jharkhand,Jamshedpur,DOMAN CHANDRA BHAKAT,Bhagidari Party(P),1343,5,1348,0.11,Lost
Jharkhand,Jamshedpur,BABLU PRASAD DANGI,Independent,1144,8,1152,0.09,Lost
Jharkhand,Jamshedpur,GYAN SAGAR PRASAD,Independent,1043,1,1044,0.08,Lost
Jharkhand,Jamshedpur,PARWATI KISKU,Independent,972,16,988,0.08,Lost
Jharkhand,Jamshedpur,NOTA,None of the Above,7105,221,7326,0.57,Lost
Jharkhand,Khunti,KALI CHARAN MUNDA,Indian National Congress,503997,7650,511647,54.62,Won
Jharkhand,Khunti,ARJUN MUNDA,Bharatiya Janata Party,358076,3896,361972,38.64,Lost
Jharkhand,Khunti,SAVITRI DEVI,Bahujan Samaj Party,12202,98,12300,1.31,Lost
Jharkhand,Khunti,BASANT KUMAR LONGA,Independent,10735,20,10755,1.15,Lost
Jharkhand,Khunti,ARPANA HANS,Jharkhand Party,8450,82,8532,0.91,Lost
Jharkhand,Khunti,PASTAR SANJAY KUMAR TIRKEY,Independent,4944,19,4963,0.53,Lost
Jharkhand,Khunti,BABITA KACHHAP,Bharat Adivasi Party,4507,87,4594,0.49,Lost
Jharkhand,Khunti,NOTA,None of the Above,21814,105,21919,2.34,Lost
Jharkhand,Kodarma,ANNPURNA DEVI,Bharatiya Janata Party,787185,4472,791657,57.79,Won
Jharkhand,Kodarma,VINOD KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),410945,3698,414643,30.27,Lost
Jharkhand,Kodarma,MANOJ KUMAR,Independent,28310,302,28612,02.09,Lost
Jharkhand,Kodarma,JAI PRAKASH VERMA,Independent,22843,380,23223,1.7,Lost
Jharkhand,Kodarma,SITAN RABIDAS,Bahujan Samaj Party,13067,107,13174,0.96,Lost
Jharkhand,Kodarma,SURENDRA KUMAR AGRAWAL,Independent,9646,10,9656,0.7,Lost
Jharkhand,Kodarma,SAHADAT ANSARI,Independent,8217,15,8232,0.6,Lost
Jharkhand,Kodarma,JAYNARAYAN DAS,Bahujan Mukti Party,6701,37,6738,0.49,Lost
Jharkhand,Kodarma,AKLESHWAR SAW,Lokhit Adhikar Party,5574,27,5601,0.41,Lost
Jharkhand,Kodarma,JITLAL KISKU,Independent,5299,34,5333,0.39,Lost
Jharkhand,Kodarma,MD. SAGIR,Independent,5041,3,5044,0.37,Lost
Jharkhand,Kodarma,AJAY KRISHNA,Moolniwasi Samaj Party,4526,15,4541,0.33,Lost
Jharkhand,Kodarma,RAJESH,Independent,4230,3,4233,0.31,Lost
Jharkhand,Kodarma,RAMESHWAR PRASAD YADAV,Independent,4227,2,4229,0.31,Lost
Jharkhand,Kodarma,ASHISH KUMAR,Right to Recall Party,2892,4,2896,0.21,Lost
Jharkhand,Kodarma,NOTA,None of the Above,42089,63,42152,03.08,Lost
Jharkhand,Lohardaga,SUKHDEO BHAGAT,Indian National Congress,476112,6926,483038,49.95,Won
Jharkhand,Lohardaga,SAMIR ORAON,Bharatiya Janata Party,339685,4215,343900,35.56,Lost
Jharkhand,Lohardaga,CHAMRA LINDA,Independent,45082,916,45998,4.76,Lost
Jharkhand,Lohardaga,MAHENDRA ORAON,Communist Party of India,16776,17,16793,1.74,Lost
Jharkhand,Lohardaga,SHANIYA ORAON,Independent,10894,17,10911,1.13,Lost
Jharkhand,Lohardaga,GIRJANANDAN URAON,Bahujan Samaj Party,9103,45,9148,0.95,Lost
Jharkhand,Lohardaga,MARIANUS TIGGA,Independent,9100,31,9131,0.94,Lost
Jharkhand,Lohardaga,STEPHAN KINDO,Independent,7594,5,7599,0.79,Lost
Jharkhand,Lohardaga,BIHARI BHAGAT,Peoples Party of India (Democratic),7558,44,7602,0.79,Lost
Jharkhand,Lohardaga,RANJEET BHAGAT,Independent,5510,17,5527,0.57,Lost
Jharkhand,Lohardaga,RAMCHANDRA BHAGAT,Lokhit Adhikar Party,4303,7,4310,0.45,Lost
Jharkhand,Lohardaga,PAWAN TIGGA,Independent,3685,28,3713,0.38,Lost
Jharkhand,Lohardaga,ARPAN DEO BHAGAT,Independent,2796,18,2814,0.29,Lost
Jharkhand,Lohardaga,ARJUN TOPPO,Independent,2706,41,2747,0.28,Lost
Jharkhand,Lohardaga,MANI MUNDA,Bhagidari Party(P),2490,20,2510,0.26,Lost
Jharkhand,Lohardaga,NOTA,None of the Above,11304,80,11384,1.18,Lost
Jharkhand,Palamau,VISHNU DAYAL RAM,Bharatiya Janata Party,762290,8072,770362,55.39,Won
Jharkhand,Palamau,MAMTA BHUIYAN,Rashtriya Janata Dal,473668,7887,481555,34.63,Lost
Jharkhand,Palamau,KAMESHWAR BAITHA,Bahujan Samaj Party,39267,733,40000,2.88,Lost
Jharkhand,Palamau,SANAN RAM,Lokhit Adhikar Party,17849,26,17875,1.29,Lost
Jharkhand,Palamau,GANESH RAVI,Independent,17669,30,17699,1.27,Lost
Jharkhand,Palamau,BRAJESH KUMAR TURI,Rashtriya Samanta Dal,17542,24,17566,1.26,Lost
Jharkhand,Palamau,VRINDA RAM,Peoples Party of India (Democratic),11205,65,11270,0.81,Lost
Jharkhand,Palamau,MAHENDRA BAITHA,Socialist Unity Centre Of India (COMMUNIST),5097,18,5115,0.37,Lost
Jharkhand,Palamau,RAM VACHAN RAM,Bahujan Mukti Party,4924,29,4953,0.36,Lost
Jharkhand,Palamau,NOTA,None of the Above,24226,117,24343,1.75,Lost
Jharkhand,Rajmahal,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,607293,6078,613371,50.35,Won
Jharkhand,Rajmahal,TALA MARANDI,Bharatiya Janata Party,430544,4563,435107,35.72,Lost
Jharkhand,Rajmahal,LOBIN HEMBRAM,Independent,41592,548,42140,3.46,Lost
Jharkhand,Rajmahal,GOPIN SOREN,Communist Party of India  (Marxist),37191,100,37291,03.06,Lost
Jharkhand,Rajmahal,MAHESH PAHARIYA,Independent,14950,28,14978,1.23,Lost
Jharkhand,Rajmahal,AJIT MARANDI,Rashtriya Jansambhavna Party,11243,8,11251,0.92,Lost
Jharkhand,Rajmahal,SEBASTION HEMBROM,Independent,9492,1,9493,0.78,Lost
Jharkhand,Rajmahal,MARIYAM MARANDI,Bahujan Samaj Party,8225,34,8259,0.68,Lost
Jharkhand,Rajmahal,PAUL SOREN,All India Majlis-E-Ittehadul Muslimeen,7854,48,7902,0.65,Lost
Jharkhand,Rajmahal,DIPA TUDU,Independent,6847,9,6856,0.56,Lost
Jharkhand,Rajmahal,KHALIFA KISKU,Peoples Party of India (Democratic),4092,15,4107,0.34,Lost
Jharkhand,Rajmahal,VINOD KUMAR MANDAL,Lokhit Adhikar Party,3774,35,3809,0.31,Lost
Jharkhand,Rajmahal,MUNSHI KISKU,Navyug Pragatisheel Morcha,2777,2,2779,0.23,Lost
Jharkhand,Rajmahal,LILI HANSDA,Samata Party,2682,7,2689,0.22,Lost
Jharkhand,Rajmahal,NOTA,None of the Above,18119,98,18217,1.5,Lost
Jharkhand,Ranchi,SANJAY SETH,Bharatiya Janata Party,658975,5757,664732,45.91,Won
Jharkhand,Ranchi,YASHASWINI SAHAY,Indian National Congress,537646,6574,544220,37.59,Lost
Jharkhand,Ranchi,DEVENDRA NATH MAHTO,Independent,130526,2121,132647,9.16,Lost
Jharkhand,Ranchi,SOMA SINGH,Jai Maha Bharath Party,10340,1,10341,0.71,Lost
Jharkhand,Ranchi,NIPU SINGH,Rashtriya Jansangharsh Swaraj Party,7793,10,7803,0.54,Lost
Jharkhand,Ranchi,DHANANJAY BHAGAT “GANDHI“,Mera Adhikaar Rashtriya Dal,6784,15,6799,0.47,Lost
Jharkhand,Ranchi,SHYAM  BIHARI PRAJAPATI,Bhagidari Party(P),6524,6,6530,0.45,Lost
Jharkhand,Ranchi,MANOJ KUMAR,Bahujan Samaj Party,6383,44,6427,0.44,Lost
Jharkhand,Ranchi,RAMHARI GOPE,Ambedkarite Party of India,6304,5,6309,0.44,Lost
Jharkhand,Ranchi,ANJANI PANDEY,Independent,5386,11,5397,0.37,Lost
Jharkhand,Ranchi,SARWESHWARI SAHU,Ekam Sanatan Bharat Dal,4794,8,4802,0.33,Lost
Jharkhand,Ranchi,HARINATH SAHU,Lokhit Adhikar Party,4120,16,4136,0.29,Lost
Jharkhand,Ranchi,HEMNTI DEVI,Samata Party,4069,11,4080,0.28,Lost
Jharkhand,Ranchi,RANJANA GIRI,Republican Party of India (A),3206,2,3208,0.22,Lost
Jharkhand,Ranchi,BIRENDRA NATH MANJHI,Abua Jharkhand Party,3130,25,3155,0.22,Lost
Jharkhand,Ranchi,DHARMENDRA TIWARY,Bhartiya Jantantra Morcha,3072,22,3094,0.21,Lost
Jharkhand,Ranchi,PRAWEEN KACHHAP,Sampoorna Bharat Kranti Party,2870,74,2944,0.2,Lost
Jharkhand,Ranchi,PRABEEN CHANDRA MAHATO,Independent,2852,7,2859,0.2,Lost
Jharkhand,Ranchi,SANTOSH KUMAR JAISWAL,Independent,2782,5,2787,0.19,Lost
Jharkhand,Ranchi,PANKAJ KUMAR RAVI,Peoples Party of India (Democratic),2756,7,2763,0.19,Lost
Jharkhand,Ranchi,MANORANJAN BHATTACHARYA,Independent,2537,2,2539,0.18,Lost
Jharkhand,Ranchi,AINUL ANSARI,Independent,2533,4,2537,0.18,Lost
Jharkhand,Ranchi,BINOD ORAON,Bahujan Mukti Party,2523,66,2589,0.18,Lost
Jharkhand,Ranchi,MINTU PASWAN,Socialist Unity Centre Of India (COMMUNIST),2151,13,2164,0.15,Lost
Jharkhand,Ranchi,KOLESHWAR MAHTO,Independent,1702,6,1708,0.12,Lost
Jharkhand,Ranchi,KAMESHWAR PRASAD SAW,Independent,1644,2,1646,0.11,Lost
Jharkhand,Ranchi,ARSHAD AYUB,Independent,1411,1,1412,0.1,Lost
Jharkhand,Ranchi,NOTA,None of the Above,8046,107,8153,0.56,Lost
Jharkhand,Singhbhum,JOBA MAJHI,Jharkhand Mukti Morcha,515989,4175,520164,51.62,Won
Jharkhand,Singhbhum,GEETA KORA,Bharatiya Janata Party,349006,2756,351762,34.91,Lost
Jharkhand,Singhbhum,DAMODAR SINGH HANSDA,Independent,43838,454,44292,4.4,Lost
Jharkhand,Singhbhum,MADHAV CHANDRA KUNKAL,Independent,19729,105,19834,1.97,Lost
Jharkhand,Singhbhum,SANGRAM MARDI,Independent,16097,14,16111,1.6,Lost
Jharkhand,Singhbhum,PARDESHI LAL MUNDA,Bahujan Samaj Party,8708,34,8742,0.87,Lost
Jharkhand,Singhbhum,DURGA LAL MURMU,Independent,4912,12,4924,0.49,Lost
Jharkhand,Singhbhum,CHITRASEN SINKU,Jharkhand Party,3188,22,3210,0.32,Lost
Jharkhand,Singhbhum,BISHWA VIJAY MARDI,Ambedkarite Party of India,3067,3,3070,0.3,Lost
Jharkhand,Singhbhum,ASHA KUMARI RUNDA,Independent,2736,18,2754,0.27,Lost
Jharkhand,Singhbhum,KRISHNA MARDI,Jharkhand Mukti Morcha  (Ulgulan),2597,18,2615,0.26,Lost
Jharkhand,Singhbhum,SUDHA RANI BESRA,Peoples Party of India (Democratic),2398,11,2409,0.24,Lost
Jharkhand,Singhbhum,BIR SINGH DEOGAM,Right to Recall Party,1919,8,1927,0.19,Lost
Jharkhand,Singhbhum,PANMANI SINGH,Socialist Unity Centre Of India (COMMUNIST),1793,8,1801,0.18,Lost
Jharkhand,Singhbhum,NOTA,None of the Above,23907,75,23982,2.38,Lost
Karnataka,Bagalkot,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,667441,3598,671039,50.93,Won
Karnataka,Bagalkot,SAMYUKTA SHIVANAND PATIL,Indian National Congress,600741,1899,602640,45.74,Lost
Karnataka,Bagalkot,NAGARAJ. S. KALKUTAGAR,Independent,5628,1,5629,0.43,Lost
Karnataka,Bagalkot,PARASHURAM. LAXMAN. NEELANAIK,Independent,5084,6,5090,0.39,Lost
Karnataka,Bagalkot,ANTHOSH SAVVASE,Uttama Prajaakeeya Party,4909,14,4923,0.37,Lost
Karnataka,Bagalkot,JYOTI GULEDGUDDA,Independent,4636,9,4645,0.35,Lost
Karnataka,Bagalkot,M. B. SIDAGONI,Bahujan Samaj Party,4453,26,4479,0.34,Lost
Karnataka,Bagalkot,DR. MUTTU. S. SURAKOD. (MADAR),Independent,3131,4,3135,0.24,Lost
Karnataka,Bagalkot,PRASHANT RAO,Independent,1909,5,1914,0.15,Lost
Karnataka,Bagalkot,DATTATREYA DASHARATHA TAVARE,Independent,1607,13,1620,0.12,Lost
Karnataka,Bagalkot,AMBROSE D' MELLO,Independent,1203,2,1205,0.09,Lost
Karnataka,Bagalkot,KENGANAL. MALLIKARJUN. BHIMAPPA,Independent,1189,18,1207,0.09,Lost
Karnataka,Bagalkot,MALLIKARJUN H. T.,Socialist Unity Centre Of India (COMMUNIST),1137,7,1144,0.09,Lost
Karnataka,Bagalkot,RAJESAB BURANSAB. MASALI,Independent,988,4,992,0.08,Lost
Karnataka,Bagalkot,SHARANAPPA MALLAPPA KOTLANNAVAR,Independent,830,2,832,0.06,Lost
Karnataka,Bagalkot,RAVI SHIVAPPA PADASALAGI,Independent,654,2,656,0.05,Lost
Karnataka,Bagalkot,SAIYYAD IMAMSAB JAKALI,Tipu Sultan Party,546,4,550,0.04,Lost
Karnataka,Bagalkot,ABDULAZIZ KALADAGI PENDARI,Independent,524,5,529,0.04,Lost
Karnataka,Bagalkot,MUTTAPPA MUDAKAPPA HIREKUMBI,Raita Bharat Party,509,9,518,0.04,Lost
Karnataka,Bagalkot,SAGAR. BASAPPA. KUMBAR,Karnataka Rashtra Samithi,494,5,499,0.04,Lost
Karnataka,Bagalkot,S. M. MARIGOUDAR,Desh Prem Party,451,3,454,0.03,Lost
Karnataka,Bagalkot,SHANKAR. VENKAPPA. NAIKAR.,Republican Party of India (A),431,10,441,0.03,Lost
Karnataka,Bagalkot,NOTA,None of the Above,3398,22,3420,0.26,Lost
Karnataka,Bangalore central,P C MOHAN,Bharatiya Janata Party,657236,1679,658915,50.05,Won
Karnataka,Bangalore central,MANSOOR ALI KHAN,Indian National Congress,625368,840,626208,47.57,Lost
Karnataka,Bangalore central,SATISH CHANDRA. M.,Bahujan Samaj Party,3071,16,3087,0.23,Lost
Karnataka,Bangalore central,JAYALAKSHMI SUNDARA RAJAN,Independent,2755,6,2761,0.21,Lost
Karnataka,Bangalore central,SURESH BABU. M. C,Uttama Prajaakeeya Party,1735,4,1739,0.13,Lost
Karnataka,Bangalore central,K. MANJUNATHA,Independent,1552,4,1556,0.12,Lost
Karnataka,Bangalore central,S. M. KRISHNA,Independent,1466,8,1474,0.11,Lost
Karnataka,Bangalore central,MURUGESH. R,Independent,1162,0,1162,0.09,Lost
Karnataka,Bangalore central,UMA. V.,Independent,820,7,827,0.06,Lost
Karnataka,Bangalore central,PRAKASH. K,Karnataka Rashtra Samithi,766,13,779,0.06,Lost
Karnataka,Bangalore central,H. P. SHIVAPRAKASH,Socialist Unity Centre Of India (COMMUNIST),700,7,707,0.05,Lost
Karnataka,Bangalore central,MODI SAIFULLA,Independent,688,7,695,0.05,Lost
Karnataka,Bangalore central,ABHAYA SHEELA.,Rashtriya Samaj Dal (R),625,10,635,0.05,Lost
Karnataka,Bangalore central,KARTHIK. K,Voters Independent Party,594,7,601,0.05,Lost
Karnataka,Bangalore central,T.R. JAGANNATHA RAO,Bharatiya Prajagala Kalyana Paksha,456,4,460,0.03,Lost
Karnataka,Bangalore central,VASANTH KUMAR ERAPPA,Independent,439,0,439,0.03,Lost
Karnataka,Bangalore central,C.M. SHABAZ KHAN,Young Star Empowerment Party,428,1,429,0.03,Lost
Karnataka,Bangalore central,WHITEFIELD MURUGESH .C,Republican Party of India (Karnataka),376,2,378,0.03,Lost
Karnataka,Bangalore central,B. KRISHNA PRASAD,"Proutist Bloc, India",324,3,327,0.02,Lost
Karnataka,Bangalore central,MUKTHAR ALI KHAN,Karnataka Karmikara Paksha,314,0,314,0.02,Lost
Karnataka,Bangalore central,SYED ASIF BUKHARI,Independent,286,0,286,0.02,Lost
Karnataka,Bangalore central,RANJITH VISHWA,Samajwadi Janata Party(Karnataka),270,4,274,0.02,Lost
Karnataka,Bangalore central,RUMAN SHARIFFE,Independent,170,1,171,0.01,Lost
Karnataka,Bangalore central,YALLAPPA.,Independent,158,2,160,0.01,Lost
Karnataka,Bangalore central,NOTA,None of the Above,12103,23,12126,0.92,Lost
Karnataka,Bangalore North,SHOBHA KARANDLAJE,Bharatiya Janata Party,982805,3244,986049,56.27,Won
Karnataka,Bangalore North,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,725190,1383,726573,41.46,Lost
Karnataka,Bangalore North,GOVINDAIAH,Bahujan Samaj Party,4614,17,4631,0.26,Lost
Karnataka,Bangalore North,SANTHOSH M,Uttama Prajaakeeya Party,3450,11,3461,0.2,Lost
Karnataka,Bangalore North,UDAYA SHANKAR.G,Prahar Janshakti Party,2676,2,2678,0.15,Lost
Karnataka,Bangalore North,LAKSHMI SRIHARI.J.N.,Independent,2091,3,2094,0.12,Lost
Karnataka,Bangalore North,DILIP KUMAR I.S.,Independent,1896,7,1903,0.11,Lost
Karnataka,Bangalore North,K.M.MAHADEVA,Independent,1716,4,1720,0.1,Lost
Karnataka,Bangalore North,K.V.NANJUNDASWAMY,Independent,1363,2,1365,0.08,Lost
Karnataka,Bangalore North,SHOBHA,Independent,1272,8,1280,0.07,Lost
Karnataka,Bangalore North,Y.R.KALLESHWARI,Samajwadi Janata Party(Karnataka),1072,5,1077,0.06,Lost
Karnataka,Bangalore North,NIRMALA H.L,Socialist Unity Centre Of India (COMMUNIST),972,5,977,0.06,Lost
Karnataka,Bangalore North,H.R.NATARAJ,Independent,857,4,861,0.05,Lost
Karnataka,Bangalore North,BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,831,0,831,0.05,Lost
Karnataka,Bangalore North,SHIVAKUMAR. B,Karnataka Rashtra Samithi,813,4,817,0.05,Lost
Karnataka,Bangalore North,SUDHA.  V,Independent,650,7,657,0.04,Lost
Karnataka,Bangalore North,KRISHNAIAH,Rashtriya Samaj Dal (R),556,3,559,0.03,Lost
Karnataka,Bangalore North,HEBBAL VENKATESH.J,Republican Party of India (A),422,3,425,0.02,Lost
Karnataka,Bangalore North,"GLOBE STAR J. JAI SIMHA VARMA, B E.",Gareeb Aadmi Party,356,3,359,0.02,Lost
Karnataka,Bangalore North,SHOBAN BABU  V,Indian Labour Party (Ambedkar Phule),315,5,320,0.02,Lost
Karnataka,Bangalore North,PARASAPPA BHEEMAPPA GAJJERI,Rani Chennamma Party,313,0,313,0.02,Lost
Karnataka,Bangalore North,NOTA,None of the Above,13499,55,13554,0.77,Lost
Karnataka,Bangalore Rural,DR C N MANJUNATH,Bharatiya Janata Party,1075553,3449,1079002,56.21,Won
Karnataka,Bangalore Rural,D K SURESH,Indian National Congress,807459,1896,809355,42.16,Lost
Karnataka,Bangalore Rural,ABHISHEK K,Uttama Prajaakeeya Party,6191,11,6202,0.32,Lost
Karnataka,Bangalore Rural,SURESH M N,Independent,3231,5,3236,0.17,Lost
Karnataka,Bangalore Rural,HEMAVATHI K,Socialist Unity Centre Of India (COMMUNIST),1768,6,1774,0.09,Lost
Karnataka,Bangalore Rural,J T PRAKASH,Independent,1468,4,1472,0.08,Lost
Karnataka,Bangalore Rural,N KRISHNAPPA,Pyramid Party of India,1396,6,1402,0.07,Lost
Karnataka,Bangalore Rural,C N MANJUNATHA,Bahujan Bharat Party,1350,50,1400,0.07,Lost
Karnataka,Bangalore Rural,KUMAR L,Bharatiya Prajagala Kalyana Paksha,1052,14,1066,0.06,Lost
Karnataka,Bangalore Rural,MAHAMAD MUSADIK PASHA,Karnataka Rashtra Samithi,817,4,821,0.04,Lost
Karnataka,Bangalore Rural,NARASIMHAMURTHY J P,Independent,809,4,813,0.04,Lost
Karnataka,Bangalore Rural,SURESH S,Karunaadu Party,792,6,798,0.04,Lost
Karnataka,Bangalore Rural,VASIST J,Country Citizen Party,546,38,584,0.03,Lost
Karnataka,Bangalore Rural,MOHAMMAD DASTAGEER,Young Star Empowerment Party,486,0,486,0.03,Lost
Karnataka,Bangalore Rural,H V CHANDRASHEKAR,Viduthalai Chiruthaigal Katchi,473,7,480,0.03,Lost
Karnataka,Bangalore Rural,NOTA,None of the Above,10633,16,10649,0.55,Lost
Karnataka,Bangalore South,TEJASVI SURYA,Bharatiya Janata Party,747780,3050,750830,60.1,Won
Karnataka,Bangalore South,SOWMYA REDDY,Indian National Congress,472754,993,473747,37.92,Lost
Karnataka,Bangalore South,ARUN PRASAD.A,Bahujan Samaj Party,2416,9,2425,0.19,Lost
Karnataka,Bangalore South,TINTISHA HEMACHANDRA SAGAR,Independent,1962,6,1968,0.16,Lost
Karnataka,Bangalore South,VATAL NAGARAJ,Kannada Chalavali Vatal Paksha,1857,10,1867,0.15,Lost
Karnataka,Bangalore South,KEMPEGOWDA,Navabharath Sena,1390,3,1393,0.11,Lost
Karnataka,Bangalore South,TEJASWINI DHANANJAY,Independent,1147,3,1150,0.09,Lost
Karnataka,Bangalore South,BALAKRISHNA.M.,Uttama Prajaakeeya Party,1106,4,1110,0.09,Lost
Karnataka,Bangalore South,JAYAPAL.D,Independent,940,2,942,0.08,Lost
Karnataka,Bangalore South,RANJITH GOWDA,Independent,859,1,860,0.07,Lost
Karnataka,Bangalore South,V.RAJKUMAR VCK,Independent,738,2,740,0.06,Lost
Karnataka,Bangalore South,RAGHUPATHI BHAT,Karnataka Rashtra Samithi,737,1,738,0.06,Lost
Karnataka,Bangalore South,DR HARISH GOWDA,Independent,555,8,563,0.05,Lost
Karnataka,Bangalore South,CHETAN CHAMAN,Country Citizen Party,490,2,492,0.04,Lost
Karnataka,Bangalore South,A . RAJ.,Independent,473,4,477,0.04,Lost
Karnataka,Bangalore South,K. C. JANARDHAN,Independent,444,8,452,0.04,Lost
Karnataka,Bangalore South,KANTHAKUMAR.R.,Independent,393,10,403,0.03,Lost
Karnataka,Bangalore South,KARAVALI MANJUNATH. BE,Rashtriya Samaj Dal (R),308,2,310,0.02,Lost
Karnataka,Bangalore South,C M. SHABAZ KHAN,Young Star Empowerment Party,295,2,297,0.02,Lost
Karnataka,Bangalore South,ASGAR A MOHIN.S.M.,Independent,266,3,269,0.02,Lost
Karnataka,Bangalore South,SUBRAHMANYA KUMAR KUNTIKANAMATA,Independent,234,3,237,0.02,Lost
Karnataka,Bangalore South,DR.R.SHEKAR THIRUMAVALVAN,Independent,214,1,215,0.02,Lost
Karnataka,Bangalore South,NOTA,None of the Above,7830,27,7857,0.63,Lost
Karnataka,Belgaum,JAGADISH SHETTAR,Bharatiya Janata Party,756471,5558,762029,55.06,Won
Karnataka,Belgaum,MRINAL R HEBBALKAR,Indian National Congress,580897,2695,583592,42.17,Lost
Karnataka,Belgaum,MAHADEV PATIL,Independent,9425,78,9503,0.69,Lost
Karnataka,Belgaum,BASAPPA GURUSIDDAPPA KUMBAR,Karnataka Rashtra Samithi,5406,35,5441,0.39,Lost
Karnataka,Belgaum,ASHOK APPAYA APPUGOL,Bahujan Samaj Party,4350,57,4407,0.32,Lost
Karnataka,Belgaum,RAVI SHIVAPPA PADASALAGI,Independent,3911,15,3926,0.28,Lost
Karnataka,Belgaum,VIJAY S METHRANI,Independent,2804,4,2808,0.2,Lost
Karnataka,Belgaum,PRAJAAKEEYA MALLAPPA CHOGALA (PREM),Uttama Prajaakeeya Party,1413,20,1433,0.1,Lost
Karnataka,Belgaum,LAXMAN JADAGANNAVAR,Socialist Unity Centre Of India (COMMUNIST),1287,15,1302,0.09,Lost
